,Actual,Predicted
0,184,189.99847871338616
1,293,293.9347636069474
2,238,244.26633866506612
3,237,246.06969526650363
4,327,307.85402597160186
5,265,276.380488308984
6,314,286.0205329015285
7,208,211.22095052791298
8,254,233.55164857523522
9,333,319.37947822870944
10,252,245.30955497168497
11,206,200.980753801327
12,212,200.500633407322
13,320,301.54314720332644
14,199,202.11396013340539
15,239,237.25514158901532
16,191,197.28899884842426
17,171,198.3630442919962
18,325,338.38209431756576
19,194,200.31194078137125
20,314,341.44401469154
21,187,203.1163295065858
22,309,321.8321338485881
23,232,233.16417817651924
24,317,330.17500295546205
25,212,210.8022439448517
26,235,231.86775268523496
27,231,234.9297571206989
28,217,212.70938282854968
29,236,245.72043418764096
30,189,197.63643289389506
31,250,240.122285030171
32,210,209.214083834482
33,231,222.81052707223012
34,174,182.67256373073184
35,194,201.12570100678136
36,198,202.224868267402
37,310,316.6695036319581
38,211,224.40753627280824
39,224,220.06016684550545
40,305,313.39854649932846
41,224,231.881410073849
42,218,212.4642160208289
43,269,275.99101120375366
44,183,190.93856619237636
45,307,316.19223672758164
46,318,324.11679301453887
47,309,312.0538186262313
48,283,299.33966621574086
49,227,229.46214184595183
50,184,205.72843014247866
51,318,332.53424712091976
52,315,298.1152262578109
53,229,219.66463123729415
54,249,245.46331302472484
55,232,220.7448085811378
56,193,196.5769586685601
57,304,299.45021119196383
58,257,276.46538003429936
59,273,284.459025145356
60,193,202.60703084076624
61,297,290.539705072763
62,294,296.6737276415828
63,196,194.21089172883285
64,294,317.94924784263196
65,189,196.96756941432824
66,320,313.3624192322062
67,180,191.78988698991463
68,314,304.51926189498533
69,305,301.57262225020196
70,303,282.0857072909686
71,267,252.64093597000655
72,280,290.04777243931505
73,177,186.27176369527476
74,335,331.6468633395101
75,312,310.8586505878882
76,248,256.60501190193594
77,202,205.4663351568211
78,183,185.96685934376154
79,259,257.45071612241924
80,255,254.2056384051677
81,218,201.1314584422813
82,232,235.67083848631535
83,247,246.88091031495594
84,214,215.39280961896054
85,215,216.81390606441914
86,216,205.07219043565541
87,238,212.0950710816582
88,242,249.3849117188241
89,229,227.6034445571135
90,207,213.44997488539497
91,216,225.7475499221406
92,235,239.98373637625153
93,236,238.04058312354084
94,196,204.1784349295644
95,201,200.55971092491842
96,253,256.48606185018446
97,198,202.04352378368083
98,309,305.75639668131464
99,200,198.92088476130144
100,204,215.77829059870837
101,262,264.0203716117692
102,228,215.51485458641065
103,192,200.0264652280607
104,307,325.85301242760954
105,245,226.45756630288088
106,209,212.15905334235816
107,201,198.1343914400498
