,Feature,Coefficient
0,num__HS_Weight,15.249120364381122
1,num__HS_Weight_x_OL,13.628351039373205
2,num__HS_Weight_x_DL,10.584146703394662
3,num__HS_Weight_x_DB,-9.658425323853685
4,num__HS_Weight_x_WR,-8.273673606581404
5,num__HS_Weight_x_QB,-3.62248385857022
6,num__Arm_Length,3.5962326769896222
7,num__HS_Weight_x_RB,-3.4075724324986747
8,num__Height,3.169208769456832
9,num__HS_Weight_x_EDGE,2.0970132561277466
10,num__Hand_Size,1.8996876773229208
11,num__HS_Weight_x_LB,-0.9551055643927322
12,num__HS_Weight_x_TE,-0.20243793731123672
